LECROYHDO6104,19236,Histogram
Segments,1,SegmentSize,500
Segment,TrigTime,TimeSinceSegment1
#1,23-Mar-2018 13:48:47,0                 
Time,Ampl
-0.00102,0
-0.00101,0
-0.001,0
-0.00099,0
-0.00098,0
-0.00097,0
-0.00096,0
-0.00095,0
-0.00094,0
-0.00093,0
-0.00092,0
-0.00091,0
-0.0009,0
-0.00089,0
-0.00088,0
-0.00087,0
-0.00086,0
-0.00085,0
-0.00084,0
-0.00083,0
-0.00082,0
-0.00081,0
-0.0008,0
-0.00079,0
-0.00078,0
-0.00077,0
-0.00076,0
-0.00075,0
-0.00074,0
-0.00073,0
-0.00072,0
-0.00071,0
-0.0007,0
-0.00069,0
-0.00068,0
-0.00067,0
-0.00066,0
-0.00065,0
-0.00064,0
-0.00063,0
-0.00062,0
-0.00061,0
-0.0006,0
-0.00059,0
-0.00058,0
-0.00057,0
-0.00056,0
-0.00055,0
-0.00054,0
-0.00053,0
-0.00052,0
-0.00051,0
-0.0005,0
-0.00049,0
-0.00048,0
-0.00047,0
-0.00046,0
-0.00045,0
-0.00044,0
-0.00043,0
-0.00042,0
-0.00041,0
-0.0004,0
-0.00039,0
-0.00038,0
-0.00037,0
-0.00036,0
-0.00035,0
-0.00034,0
-0.00033,0
-0.00032,0
-0.00031,0
-0.0003,0
-0.00029,0
-0.00028,0
-0.00027,0
-0.00026,0
-0.00025,0
-0.00024,0
-0.00023,0
-0.00022,0
-0.00021,0
-0.0002,0
-0.00019,0
-0.00018,0
-0.00017,0
-0.00016,0
-0.00015,0
-0.00014,0
-0.00013,0
-0.00012,0
-0.00011,0
-0.0001,0
-9e-005,0
-8e-005,0
-7e-005,0
-6e-005,0
-5e-005,0
-4e-005,0
-3e-005,0
-2e-005,0
-1e-005,0
2.145e-018,0
1e-005,0
2e-005,0
3e-005,0
4e-005,0
5e-005,0
6e-005,0
7e-005,0
8e-005,0
9e-005,0
0.0001,0
0.00011,0
0.00012,0
0.00013,0
0.00014,0
0.00015,0
0.00016,0
0.00017,0
0.00018,0
0.00019,0
0.0002,0
0.00021,0
0.00022,0
0.00023,0
0.00024,0
0.00025,0
0.00026,0
0.00027,0
0.00028,0
0.00029,0
0.0003,0
0.00031,1
0.00032,0
0.00033,1
0.00034,6
0.00035,26
0.00036,160
0.00037,354
0.00038,603
0.00039,775
0.0004,1529
0.00041,1183
0.00042,1387
0.00043,1373
0.00044,2128
0.00045,1351
0.00046,1293
0.00047,1291
0.00048,1582
0.00049,921
0.0005,745
0.00051,579
0.00052,644
0.00053,362
0.00054,356
0.00055,308
0.00056,379
0.00057,211
0.00058,209
0.00059,213
0.0006,259
0.00061,140
0.00062,141
0.00063,135
0.00064,178
0.00065,101
0.00066,87
0.00067,83
0.00068,100
0.00069,58
0.0007,55
0.00071,52
0.00072,48
0.00073,31
0.00074,28
0.00075,27
0.00076,41
0.00077,32
0.00078,29
0.00079,56
0.0008,48
0.00081,53
0.00082,68
0.00083,73
0.00084,103
0.00085,93
0.00086,147
0.00087,160
0.00088,294
0.00089,195
0.0009,219
0.00091,210
0.00092,373
0.00093,218
0.00094,293
0.00095,266
0.00096,358
0.00097,233
0.00098,204
0.00099,214
0.001,238
0.00101,172
0.00102,146
0.00103,143
0.00104,180
0.00105,88
0.00106,112
0.00107,90
0.00108,124
0.00109,59
0.0011,67
0.00111,69
0.00112,80
0.00113,43
0.00114,37
0.00115,35
0.00116,44
0.00117,25
0.00118,18
0.00119,19
0.0012,39
0.00121,21
0.00122,21
0.00123,14
0.00124,24
0.00125,14
0.00126,11
0.00127,15
0.00128,25
0.00129,19
0.0013,28
0.00131,24
0.00132,46
0.00133,43
0.00134,35
0.00135,36
0.00136,62
0.00137,39
0.00138,44
0.00139,60
0.0014,89
0.00141,43
0.00142,46
0.00143,48
0.00144,81
0.00145,53
0.00146,59
0.00147,67
0.00148,74
0.00149,50
0.0015,60
0.00151,41
0.00152,68
0.00153,33
0.00154,39
0.00155,36
0.00156,45
0.00157,30
0.00158,25
0.00159,26
0.0016,28
0.00161,21
0.00162,11
0.00163,13
0.00164,15
0.00165,13
0.00166,13
0.00167,11
0.00168,11
0.00169,16
0.0017,9
0.00171,10
0.00172,8
0.00173,8
0.00174,4
0.00175,15
0.00176,6
0.00177,8
0.00178,9
0.00179,10
0.0018,12
0.00181,12
0.00182,7
0.00183,12
0.00184,21
0.00185,14
0.00186,14
0.00187,15
0.00188,24
0.00189,17
0.0019,16
0.00191,24
0.00192,24
0.00193,24
0.00194,15
0.00195,20
0.00196,19
0.00197,15
0.00198,20
0.00199,16
0.002,34
0.00201,14
0.00202,18
0.00203,11
0.00204,21
0.00205,6
0.00206,12
0.00207,14
0.00208,11
0.00209,11
0.0021,9
0.00211,7
0.00212,9
0.00213,4
0.00214,6
0.00215,6
0.00216,9
0.00217,2
0.00218,7
0.00219,0
0.0022,7
0.00221,1
0.00222,4
0.00223,3
0.00224,5
0.00225,4
0.00226,6
0.00227,1
0.00228,6
0.00229,3
0.0023,3
0.00231,2
0.00232,7
0.00233,9
0.00234,4
0.00235,7
0.00236,4
0.00237,8
0.00238,4
0.00239,5
0.0024,6
0.00241,7
0.00242,4
0.00243,2
0.00244,5
0.00245,5
0.00246,2
0.00247,7
0.00248,4
0.00249,5
0.0025,5
0.00251,0
0.00252,7
0.00253,6
0.00254,3
0.00255,3
0.00256,8
0.00257,3
0.00258,1
0.00259,1
0.0026,7
0.00261,2
0.00262,5
0.00263,2
0.00264,1
0.00265,2
0.00266,3
0.00267,1
0.00268,2
0.00269,2
0.0027,1
0.00271,1
0.00272,3
0.00273,1
0.00274,2
0.00275,0
0.00276,0
0.00277,1
0.00278,1
0.00279,1
0.0028,0
0.00281,2
0.00282,2
0.00283,1
0.00284,5
0.00285,0
0.00286,0
0.00287,1
0.00288,2
0.00289,2
0.0029,1
0.00291,0
0.00292,5
0.00293,1
0.00294,0
0.00295,0
0.00296,2
0.00297,5
0.00298,1
0.00299,4
0.003,4
0.00301,2
0.00302,2
0.00303,1
0.00304,3
0.00305,1
0.00306,0
0.00307,0
0.00308,1
0.00309,0
0.0031,0
0.00311,0
0.00312,1
0.00313,0
0.00314,2
0.00315,0
0.00316,2
0.00317,2
0.00318,1
0.00319,1
0.0032,2
0.00321,3
0.00322,0
0.00323,1
0.00324,1
0.00325,0
0.00326,1
0.00327,0
0.00328,0
0.00329,1
0.0033,0
0.00331,0
0.00332,1
0.00333,1
0.00334,0
0.00335,1
0.00336,0
0.00337,1
0.00338,0
0.00339,0
0.0034,0
0.00341,1
0.00342,0
0.00343,1
0.00344,0
0.00345,2
0.00346,1
0.00347,0
0.00348,1
0.00349,0
0.0035,0
0.00351,0
0.00352,0
0.00353,0
0.00354,1
0.00355,2
0.00356,2
0.00357,0
0.00358,1
0.00359,1
0.0036,0
0.00361,0
0.00362,1
0.00363,0
0.00364,0
0.00365,0
0.00366,0
0.00367,1
0.00368,1
0.00369,0
0.0037,0
0.00371,0
0.00372,0
0.00373,1
0.00374,1
0.00375,0
0.00376,0
0.00377,0
0.00378,1
